"filename", "language", "Lex/Flex", "Bison", "C++", "comment", "blank", "total"
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.cpp", "C++", 0, 0, 36, 0, 8, 44
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.h", "C++", 0, 0, 8, 0, 0, 8
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\till.l", "Lex/Flex", 39, 0, 0, 0, 1, 40
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\till.y", "Bison", 0, 97, 0, 19, 30, 146
"Total", "-", 39, 97, 44, 19, 39, 238
