"filename", "language", "C++", "comment", "blank", "total"
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.hpp", "C++", 107, 12, 16, 135
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\lexer.cpp", "C++", 1237, 362, 324, 1923
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.cpp", "C++", 940, 263, 229, 1432
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.hpp", "C++", 68, 36, 14, 118
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\till.cpp", "C++", 24, 15, 10, 49
"Total", "-", 2376, 688, 593, 3657
