"filename", "language", "C++", "comment", "blank", "total"
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.cpp", "C++", 126, 0, 16, 142
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.h", "C++", 75, -1, 9, 83
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.hpp", "C++", -1, 0, 0, -1
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\till.cpp", "C++", 4, -1, -1, 2
"Total", "-", 204, -2, 24, 226
