"filename", "language", "C++", "comment", "blank", "total"
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.cpp", "C++", 138, 0, 19, 157
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.h", "C++", 315, 0, 38, 353
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\lexer.cpp", "C++", 1250, 362, 324, 1936
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.cpp", "C++", 1065, 263, 245, 1573
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.hpp", "C++", 68, 36, 15, 119
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\till.cpp", "C++", 31, 0, 5, 36
"Total", "-", 2867, 661, 646, 4174
