"filename", "language", "C++", "comment", "blank", "total"
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.cpp", "C++", 12, 0, 3, 15
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.h", "C++", 240, 1, 29, 270
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\lexer.cpp", "C++", 1250, 362, 324, 1936
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.cpp", "C++", 1065, 263, 245, 1573
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.hpp", "C++", 69, 36, 15, 120
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\till.cpp", "C++", 27, 1, 6, 34
"Total", "-", 2663, 663, 622, 3948
