"filename", "language", "C++", "comment", "blank", "total"
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.cpp", "C++", 12, 0, 3, 15
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.h", "C++", 240, 1, 29, 270
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\ast.hpp", "C++", -107, -12, -16, -135
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\lexer.cpp", "C++", 13, 0, 0, 13
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.cpp", "C++", 125, 0, 16, 141
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\parser.hpp", "C++", 1, 0, 1, 2
"d:\TLProject\Vscode\VsCode_C\Till_Language\src\till.cpp", "C++", 3, -14, -4, -15
"Total", "-", 287, -25, 29, 291
